epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6924,1.05859,3.40177,4.17297,1.31734,0,0,0,0,0,0,0,0,0,0.7418,2.42548,4.18166,1.27981,0,1.428e-05,1.428e-05,1.428e-05
2,181.24,0.92992,2.94932,4.0971,1.22531,0,0,0,0,0,0,0,0,0,0.67086,2.03742,4.1176,1.17716,0,3.26603e-05,3.26603e-05,3.26603e-05
3,269.675,0.78152,2.38446,3.99019,1.13941,0,0,0,0,0,0,0,0,0,0.67734,1.77464,4.06047,1.11792,0,5.02865e-05,5.02865e-05,5.02865e-05
4,349.528,0.75252,2.07356,3.87302,1.10144,0,0.02241,0.03137,0.02518,0.0202,0.02241,0.03137,0.02518,0.02201,0.65182,1.56926,3.99001,1.07745,0,6.71588e-05,6.71588e-05,6.71588e-05
5,458.212,0.71525,1.84966,3.69302,1.06841,0,0.04225,0.09412,0.0585,0.05125,0.04225,0.09412,0.0585,0.0519,0.57512,1.41636,3.92602,1.02861,0,8.32772e-05,8.32772e-05,8.32772e-05
6,568.938,0.69342,1.69978,3.59548,1.05589,0,0.10489,0.22659,0.10034,0.09051,0.10489,0.22659,0.10034,0.07904,0.54418,1.25607,3.85522,0.99333,0,9.86415e-05,9.86415e-05,9.86415e-05
7,663.328,0.63212,1.446,3.39426,1.02113,0,0.09534,0.35144,0.14211,0.11494,0.09207,0.34798,0.13982,0.10754,0.57803,1.19178,3.78425,0.98318,0,0.000113252,0.000113252,0.000113252
8,754.652,0.64366,1.33087,3.28212,1.01698,0,0.07142,0.49412,0.17365,0.15125,0.07142,0.49412,0.17364,0.14475,0.53821,1.14836,3.68793,0.95782,0,0.000127108,0.000127108,0.000127108
9,838.769,0.66352,1.36902,3.07424,1.03595,0,0.0569,0.6402,0.20679,0.18426,0.0577,0.6598,0.20763,0.18045,0.53271,1.15377,3.59097,0.95386,0,0.000140211,0.000140211,0.000140211
10,905.472,0.61721,1.19947,2.84462,1.03401,0,0.05055,0.68039,0.21993,0.19774,0.05077,0.69608,0.21943,0.1921,0.54614,1.06722,3.51031,0.97778,0,0.000152559,0.000152559,0.000152559
11,980.053,0.62289,1.16487,2.71522,1.0079,0,0.05448,0.6902,0.22497,0.20199,0.05375,0.68235,0.22176,0.19494,0.5455,1.00568,3.45291,0.99755,0,0.000164153,0.000164153,0.000164153
12,1169.9,0.62594,1.17457,2.56652,1.01725,0,0.06517,0.68333,0.24061,0.20806,0.06425,0.67549,0.23676,0.2068,0.55615,1.01307,3.40973,1.00533,0,0.000174994,0.000174994,0.000174994
13,1279.92,0.60994,1.12286,2.4145,0.99126,0,0.07791,0.70686,0.25672,0.22485,0.07681,0.69902,0.25312,0.21405,0.54957,1.02567,3.36572,1.01126,0,0.00018508,0.00018508,0.00018508
14,1668.43,0.59727,1.09219,2.29189,0.99735,0,0.08635,0.73824,0.28482,0.2508,0.08434,0.71078,0.27965,0.23742,0.53935,1.01273,3.34392,1.01071,0,0.000194413,0.000194413,0.000194413
15,1786.68,0.62784,1.13946,2.20727,1.01672,0,0.08695,0.77941,0.35952,0.32296,0.08573,0.77157,0.35614,0.30868,0.51478,1.04268,3.23893,0.989,0,0.000202991,0.000202991,0.000202991
16,1860.18,0.62241,1.08301,2.07625,1.01811,0,0.08436,0.79902,0.36579,0.33072,0.08594,0.82059,0.36351,0.31564,0.50345,1.07341,3.13452,0.98337,0,0.000210816,0.000210816,0.000210816
17,1948.65,0.55928,0.9951,1.95919,0.97212,0,0.0756,0.77451,0.3529,0.31529,0.07442,0.76667,0.34757,0.30133,0.5195,1.05334,3.02111,0.99127,0,0.000217886,0.000217886,0.000217886
18,2028.93,0.62123,0.99419,2.00341,1.00528,0,0.84925,0.181,0.3455,0.3037,0.8402,0.17402,0.33871,0.29836,0.51925,0.96599,2.87454,0.99841,0,0.000224203,0.000224203,0.000224203
19,2174.78,0.57831,0.95056,1.89813,0.97861,0,0.84223,0.19412,0.3524,0.30967,0.63941,0.21418,0.34538,0.30537,0.49988,0.9365,2.81786,0.99602,0,0.000229765,0.000229765,0.000229765
20,2276.09,0.57036,1.00269,1.86366,0.98771,0,0.70295,0.24955,0.36831,0.32179,0.55074,0.28642,0.36107,0.31693,0.52143,0.93362,2.77354,1.00687,0,0.000234574,0.000234574,0.000234574
21,2364.87,0.60745,0.97193,1.74361,1.00566,0,0.85065,0.17778,0.423,0.36721,0.84438,0.18062,0.41301,0.36558,0.52438,0.97365,2.59471,1.00484,0,0.000238628,0.000238628,0.000238628
22,2438.57,0.57139,0.91311,1.61833,1.00598,0,0.85085,0.19689,0.49405,0.4398,0.84829,0.19297,0.4904,0.43111,0.52226,0.94649,2.41787,1.00732,0,0.000241929,0.000241929,0.000241929
23,2510.46,0.55298,0.93507,1.54604,0.96288,0,0.86105,0.2334,0.51663,0.46171,0.85567,0.22626,0.51008,0.45269,0.52546,0.9199,2.23493,1.01422,0,0.000244476,0.000244476,0.000244476
24,2576.01,0.55501,0.94885,1.51918,0.99442,0,0.69571,0.26245,0.54959,0.48171,0.68982,0.25461,0.54343,0.47985,0.55227,0.92173,2.0943,1.02786,0,0.000246268,0.000246268,0.000246268
25,2640.15,0.57909,0.91488,1.46764,1.0053,0,0.6573,0.34359,0.56833,0.48285,0.65135,0.33574,0.56346,0.49351,0.58699,0.97026,2.02287,1.05802,0,0.000247307,0.000247307,0.000247307
26,2707.83,0.54707,0.94417,1.50988,0.96089,0,0.62396,0.53481,0.59368,0.50831,0.6178,0.52697,0.58918,0.51895,0.57776,0.99958,1.94383,1.05936,0,0.00024038,0.00024038,0.00024038
27,2771.82,0.54719,0.881,1.42472,0.96344,0,0.63378,0.62287,0.6047,0.52616,0.62732,0.61502,0.60023,0.53131,0.51856,0.97076,1.81377,1.017,0,0.000230955,0.000230955,0.000230955
28,2853.62,0.55141,0.94867,1.42699,0.96461,0,0.55101,0.65876,0.63772,0.55828,0.53071,0.63131,0.62101,0.55591,0.49918,0.88869,1.71223,1.00042,0,0.00022153,0.00022153,0.00022153
29,2924.15,0.55006,0.87862,1.40113,0.96674,0,0.5484,0.70262,0.64968,0.56777,0.53125,0.68029,0.63382,0.57165,0.50998,0.84019,1.65803,1.00846,0,0.000212106,0.000212106,0.000212106
30,2998.08,0.5449,0.91931,1.40604,0.95784,0,0.56662,0.78495,0.67488,0.58861,0.55168,0.76142,0.66187,0.59599,0.50806,0.82082,1.61923,1.00598,0,0.000202681,0.000202681,0.000202681
